_unit_id,text_no_rt,predicted_class1,predicted_class2,predicted_where_caution_x,type_of_caution_x,predicted_where_donation,type_of_donation,intention,predicted_where_casuality,infrastructure_or_people
204691368,@thedigsy I hear the tornado watch is on for you guys. You okay?,Personal,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691369,dang. if your town is issued a tornado watch twice in 48 hours time to relocate. #Joplin,Informative,"Donations of money, goods or services",,,,"Other, or not specified",Reports that something has been donated/provided/given/done,,
204691370,#tornadoes in #Oklahoma  now. More expected in #Joplin  in the next 3 hrs. Say a prayer,Informative,Unknown,,,,,,,
204691371,Strong winds..maybe a tornado...near Boyd. The strongest ciirculations are near Boyd and just south of Agnes.,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691372,ardmore bartlesville okmulgee OK still under tornado warnings,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691373,New Tornado watch out,Personal,Caution and advice,,Other,,,,,
204691374,Joplin now in Tornado watch area storms tracking NE through Oklahoma.,Informative,Caution and advice,",Oklahoma",A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691375,Tornado Watch now for entire metro area.  Just issued.,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691376,Tornado Watch now for entire metro area.  Just issued.,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691377,Tornado watch #363 has been issued for the KC Metro area until 3am. Make sure your weather radios are working! #KCStorms #KCChasers,Informative,Caution and advice,,Other,,,,,
204691378,#ASKTAYLOR we need you in joplin missouri bring hope to the city after the devastating tornado. will you please come?,Personal,Casualties and damage,,,,,,,A tornado sighting/touchdown has been reported
204691379,Cops just went down street in #Joplin with PA system saying high winds coming take shelter now. Hol ...,Informative,Unknown,,,,,,,
204691380,Going live on #CNN - breaking news re multiple deaths in #Oklahoma as new tornado strikes PLUS incredible survival sto ...,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691381,Many Still Unaccounted for After Joplin Tornado: About 1500 people are unaccounted for in this battered city a... ...,Informative,"People missing, found or seen",,,,,,,
204691382,@GayleWestover tornado misses them by 3 miles. PTL!,Informative,Caution and advice,,Other,,,,,
204691383,Got the Tornado Warning email from Tecumseh . . . 4 minutes after it expired. #fb,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691384,MSNBC now airing live tornado coverage from KFOR in Oklahoma City. KFOR coverage is astonishing and dramatic.,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691385,Radar indicates a possible tornado between Poolville and Peaster.,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691386,@shawnakey & @lakeefe are the only things making my tornado flight delays in Dallas bearable right now. Lifesavers those two.,Personal,Caution and advice,,Other,,,,,
204691387,Parker storm is just 48000 feet of bitchiness. It is sick. #txwx,Informative,Caution and advice,,Other,,,,,
204691388,#joplin is 92 miles ne of the current tornado warning in area.,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691389,Flash Flood Warning until midnight Tornado Watch until 10pm,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691390,@Suicidal_Smile Joplin Missouri Its been hit by a deadly tornado. Are you from the UK?,Informative,Casualties and damage,,,,,,,Other
204691391,Dear @cnn @msnbc We can hear same old politics any night. Tonight Americans are in danger. Cover tornado outbreak LIVE  ...,Personal,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691392,yea it looks real damn creepy outside right now. like the opening scene of a movie about a tornado. #crap,Personal,Caution and advice,,Other,,,,,
204691393,Reagan is giving her tooth fairy money to @ConvoyofHope at her school fundraiser at Wanda Gray Elementary for #Joplin. So sweet.,Other,,,,,,,,
204691394,Ugh... 7 more deaths in OKC today because of tornado's!,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691395,Rain and thunder beginning in South Tulsa. #okwx,Informative,Caution and advice,,Other,,,,,
204691396,Rain and thunder beginning in South Tulsa. #okwx,Informative,Caution and advice,,Other,,,,,
204691397,Watching American Idol with the fam while awaiting the bad possible tornado storms. A strategic closet shelter is empty and waiting...,Personal,Caution and advice,,Other,,,,,
204691398,Family Looks For Graduate Lost In Tornado: A Joplin family is looking for their son who was lost in the storm coming... http://dlvr.it/StLxN,Informative,Information source,,,,,,,
204691399,Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b,Informative,Casualties and damage,,,,,,,A tornado/thunderstorm warning has been issued or has been lifted
204691400,Ditto this &gt; RT @jpe33180: @Lawrence take #bigoil tax breaks to pay for #tornado aid.,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691401,The Joplin tornado has now been rated an EF-5 with winds over 200 mph.,Informative,Unknown,,,,,,,
204691402,IF YOU KNOW ANYONE IN MARIETTA #OK GET READY OR OUT OF THE WAY! v 4Warn http://is.gd/wkx7bt #tornado #OKWX #oklahoma #OK,Informative,Information source,,,,,,,
204691403,please pray for the tornado victims.. PLEASE..,Personal,Unknown,,,,,,,
204691404,RT: @MsChristalLloyd: WTH IS THIS?! it better tornado or ima be pissed!,Personal,Caution and advice,,Other,,,,,
204691405,Important: @Redcross & #Joplin MO needs your help! Txt REDCROSS to 90999 to donate or online help at http://bit.ly/eZJ ...,Informative,"Donations of money, goods or services",,,,"Other, or not specified",Invites/asks people to donate/provide/give/do something,,
204691406,DON'T BE ANYWHERE ON I-635 west of US-75. GET OFF THE ROAD!! Tornadic storm coming. #txwx,Informative,Caution and advice,,Other,,,,,
204691407,Baseball sized hail possible with the Cooke-Grayson storm. #txwx,Informative,Caution and advice,,Other,,,,,
204691408,i feel sorry for everyone in oklahoma getting hit by the tornado's... rex is there :(,Personal,Caution and advice,,Other,,,,,
204691409,The footage of these tornadoes in Oklahoma is terrifying. Unreal. #okwx,Personal,Unknown,,,,,,,
204691410,Freeze. How does Tornado Joplin and Hurrican Katrina correlate? They are two completely different weather disasters !,Informative,Unknown,,,,,,,
204691411,Gah @Nash076 and @JesuOtaku outran a tornado an ICE STORM in forced @thelindsayellis into a ditch... ALL CA MEMBERS G ...,Informative,Caution and advice,,Other,,,,,
204691412,Possible #tornado on the ground coming into Little #Oklahoma. SEEK SHELTER IN LITTLE OK! #OKWX Follow 4 updates.,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691413,Oh FFS -- there is another tornado watch for #Joplin!  Stay safe folks.,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691414,The weather lately is scary! Reports are breaking that an EF-5 has touched down in OKC #PleasePrayForTheirSafety and dont forget #Joplin,Informative,Information source,,,,,,,
204691415,Tornado Watch now for entire metro area.  Just issued.,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691416,Tornado warning in my hometown in northern Washington County!,Informative,Caution and advice,",Washington County !",A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691417,Treatment for shock Pt1: treat obvious injury/illness keep warm reassure and raise legs except in following cases. ...,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691418,GOP hates women middle class gays & now tornado victims.   Shameful.#wiunion Cantor,Personal,"Donations of money, goods or services",,,,"Other, or not specified",Invites/asks people to donate/provide/give/do something,,
204691419,"CNN currently interviewing a doctor in #Joplin.  """"How's the situation there?""""",Personal,Unknown,,,,,,,
204691420,Weather service issues #tornado watch for western Missouri extreme eastern Kansas http://on.cnn.com/k1ZN2b,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691421,I have heard some sad stories about the tornado in Joplin. And It breaks my heart too see the families suffering.  ...,Personal,Casualties and damage,,,,,,,A tornado sighting/touchdown has been reported
204691422,Dear @cnn @msnbc We can hear same old politics any night. Tonight Americans are in danger. Cover tornado outbreak LIVE otherwise you #FAIL,Personal,Caution and advice,,Other,,,,,
204691423,People asking about shelter when storm is 30-60 min away TOO LATE! Plan this when a watch is issued or BEFORE! #tornado,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691424,There's a tornado on the ground.,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691425,The tornado formed around 150th and 76th in McClain Co. It then split and cut two paths through the Washington/Goldsby area.,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691426,Tornado en Dallas y granizo shit,Other,,,,,,,,
204691427,Dear @cnn @msnbc We can hear same old politics any night. Tonight Americans are in danger. Cover tornado outbreak LIVE  ...,Personal,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691428,My dad just called ne n said 6 ppl died from a tornado in the city. Tryna make it Home #prayforme &lt;&lt; be careful,Informative,Unknown,,,,,,,
204691429,Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b,Informative,Casualties and damage,,,,,,,A tornado/thunderstorm warning has been issued or has been lifted
204691430,@carterhulsey @TheDenison @christoferdrew just developed my pictures of #joplin for my poster for funraising for #joplinrelief,Personal,"Donations of money, goods or services",,,,"Other, or not specified",Invites/asks people to donate/provide/give/do something,,
204691431,Spotter reports seeing debris from a tornado that's on the ground at Willow Springs Road south of Avondale by 8 miles.,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691432,We could help tornado victims if we a) Had sensible taxes b) Got out of Afghanistan 3) Ended war on drugs 4) Never electe ...,Personal,"Donations of money, goods or services",,,,"Other, or not specified",Invites/asks people to donate/provide/give/do something,,
204691433,Medical examiner headed to logan county- believed to be around 3-5 deaths in Logan county. #okwx,Informative,"Donations of money, goods or services",,,,"Other, or not specified",Reports that something has been donated/provided/given/done,,
204691434,Tornado to the north of Tishomingo toward Coalgate... Wapanucka is in the path... #okwx,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691435,"Joplin under a tornado watch. Hey mother nature ""Too Soon"" !",Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691436,#ASKTAYLOR we need you in joplin missouri bring hope to the city after the devastating tornado. will you please come darlin,Personal,Casualties and damage,,,,,,,A tornado sighting/touchdown has been reported
204691437,#ksstorms RT @kctv5_10pm: RT @KCTV5Newsdesk: Tornado Watch now for entire metro area.  Just issued.,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691438,#Tornado watch about to be issued for KC area. #KCStorms,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691439,http://wp.me/pfrZ6-bv Harold Camping's Family Radio website on May 21st vs. after + something MORE important #haroldcamping #joplin,Other,,,,,,,,
204691440,When ? RT @tetibyab: Apparently the tornado is gonna pass thru Johnson county #Jesustakethewheel,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691441,Tornado Warning for the northern parts of Ft. Worth TX.,Informative,Caution and advice,",Ft. Worth TX",A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691442,Thank you all for your responses to my countless tweets and twitpics from #Joplin... the devastation is hard to fathom. ...,Informative,Unknown,,,,,,,
204691443,Still searching for tornado devastation in Joplin MO. Can't find it. Not even a downed tree. See my geotags. Am I in the right town?,Informative,Unknown,,,,,,,
204691444,Tornado outbreak in progress north and NW of Dallas. Everyone in the Metroplex needs to be listenin ...,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691445,@andersoncooper be safe in #Joplin we need our #ac360! On aa scale of 1-5 how tight are your clothes #sethmeyersjoke,Personal,Unknown,,,,,,,
204691446,Tornado on the ground near Russett OK. #okwx,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691447,#ASKTAYLOR we need you in joplin missouri bring hope to the city after the devastating tornado. will you please come????,Personal,Casualties and damage,,,,,,,A tornado sighting/touchdown has been reported
204691448,Goodness....Why does Joplin MO have another Tornado Watch??....This is too much #LORDHAVEMERCY,Informative,Unknown,,,,,,,
204691449,The life of an okie. The split sky of a tornado storm. Pitch black up front & sun shining bright in da back.  http://instagr.am/p/Erhr5/,Informative,Information source,,,,,,,
204691450,First Baptist church in #Piedmont #OK will be open as a shelter tonight. #oklahoma #okwx,Informative,Caution and advice,,Other,,,,,
204691451,Damaging wind threat coming into Tulsa OK #tornado #okwx,Informative,Caution and advice,,Other,,,,,
204691452,Tornado craziness in OK. I am out of here http://goo.gl/fb/nw6nk,Informative,Information source,,,,,,,
204691453,Out of all the videos and photos of the Tornado disasters. The worst was the splattered and pool of blood on the ground. #pray,Personal,Unknown,,,,,,,
204691454,Tornado is ON THE GROUND along Jacksboro Highway in Azle TX. Take shelter!,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691455,Kansas City you're now under a Tornado Watch until 3 AM. #fb #ksstorms,Informative,Caution and advice,,Other,,,,,
204691456,As much as I want to tweet about marketing + adv. I can't get my thoughts away from a storm headed our way. Has already killed 8. #arwx,Personal,Caution and advice,,Other,,,,,
204691457,Okay CNN has brought Michael Brown former FEMA director on to discuss #Joplin response.  #insulting,Informative,"Donations of money, goods or services",,,,"Other, or not specified",Reports that something has been donated/provided/given/done,,
204691458,Margs and 7 layer dip. Prepared for the tornado,Personal,Caution and advice,,Other,,,,,
204691459,60mins hill circuits arnd Orchard Hills. Now watching tornado news on CNN. Glad I live in SoCal. I'll take earthquakes 2 tornado's anytime.,Informative,Caution and advice,,Other,,,,,
204691460,WATCH LIVE TORNADO ON THE GROUND IN SOUTHERN COOK OK . http://hurricanetrack.webs.com/hurricanetracktv.htm,Informative,Information source,,,,,,,
204691461,Uh...tornado sirens decide to go off while im shopping for an awards dress? Great...,Personal,Caution and advice,,A siren has been heard,,,,,
204691462,Joplin Tornado Relief - Read this post on how you can help this week! http://bit.ly/mDJoplin #ascc,Personal,"Donations of money, goods or services",,,,"Other, or not specified",Invites/asks people to donate/provide/give/do something,,
204691463,Bismillah tornado warning.. Dear God doont let us be Missouri the 2nd ..,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691464,Oh lord the death toll is rising RT @cnnbrk: Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b,Informative,Casualties and damage,,,,,,,A tornado/thunderstorm warning has been issued or has been lifted
204691465,New tornado watch until 3am CDT for western MO.  Includes #Joplin.  More info: http://wxch.nl/k6CgxX,Informative,Information source,,,,,,,
204691466,Suman 122 muertos y 750 heridos por el tornado histÃƒÂŒ_rico en Misuri:,Other,,,,,,,,
204691467,Muertes por tornado en Misuri se elevan a 122: El nÃƒÂŒÃ‚Â¼mero de muertos por ... http://bit.ly/j6rClU #Cuba #Noticias #USA,Other,,,,,,,,
204691468,Okay CNN has brought Michael Brown former FEMA director on to discuss #Joplin response.  #insulting,Informative,"Donations of money, goods or services",,,,"Other, or not specified",Reports that something has been donated/provided/given/done,,
204691469,Tornado Kills 89 in Missouri. http://t.co/JfJqlfl,Informative,Information source,,,,,,,
204691470,Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b,Informative,Casualties and damage,,,,,,,A tornado/thunderstorm warning has been issued or has been lifted
204691471,Tornado sirens in Lewisville! Women children and pets to the closet. Men run outside to see the tornado.  http://twitpic.com/524hif,Informative,Information source,,,,,,,
204691472,First Baptist Church in Piedmont opening up as shelter...please help get word out! #okwx,Informative,"Donations of money, goods or services",,,,Shelter,Invites/asks people to donate/provide/give/do something,,
204691473,Tornado Warning until 08:15 PM CDT issued for Mitchell County  http://bit.ly/btQnZB #KSwx #KSstorms,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691474,Tornado on the ground near Springtown,Informative,Caution and advice,",Springtown",A tornado sighting/touchdown has been reported,,,,,
204691475,Gettin ready for a possible tornado..keep the 4 states area in ur prayers,Personal,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691476,Tornado spotted near Dickson..,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691477,Northern Dallas County you need to prepare to take tornado precautions soon as this storm will move towards you. #txwx,Informative,Caution and advice,,Other,,,,,
204691478,Tornado watch issued for Joplin Mo area where at least 124 people died in a twister Sunday. Via @cnnbrk,Informative,Casualties and damage,,,,,,,A tornado/thunderstorm warning has been issued or has been lifted
204691479,Praying for the people affected by the tornado in Missouri.,Personal,Caution and advice,",Missouri",A tornado sighting/touchdown has been reported,,,,,
204691480,Joplin just went under a tornado watch until 3am...storms South and West of Tulsa right now...7:43pm  70mph wind gusts Mannford W of Tulsa,Informative,Caution and advice,",Tulsa",A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691481,Tornado warning here in northern Tarrant County - blankets and pillows in my closet ... Just in case,Personal,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691482,Just finished meeting with the Samaritan's Purse lead team. These people are the real deal. Amazing! #Joplin #tornado,Informative,Information source,,,,,,,
204691483,Those in the #ozarks you are in a TORNADO WATCH this DOES include the cities of #joplin and #springfield until 3am #mowx,Informative,Casualties and damage,,,,,,,Other
204691484,everyone in #chs tonight stop by @upperdecktavern and drop some dollars to support Joplin tornado victims! @jeffet @therea ...,Informative,"Donations of money, goods or services",,,,"Other, or not specified",Invites/asks people to donate/provide/give/do something,,
204691485,TORNADO WARNING| Small Children Babies Trapped @ Four Corners| Live Feed Update RT AND @GOPLeader says NO HELP TILL we get C ...,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691486,Watauga Keller Colleyville take cover Tornado headed your way,Informative,Caution and advice,,Other,,,,,
204691487,The only thing faster than the Joplin tornado is Kyle Busch. #toosoon,Personal,Unknown,,,,,,,
204691488,Praying for Joplin Mo and OK tornado victims ......,Personal,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691489,Tornado is ON THE GROUND along Jacksboro Highway in Azle. Take shelter!,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691490,@paulwalker47  #Fans  #ROWW.org needs #Donations so that they can deploy a team to #Joplin. Plz #Donate & RT #HelpJoplin.. Thnx,Informative,"Donations of money, goods or services",,,",Plz # Donate & RT # HelpJoplin.. Thnx","Other, or not specified",Invites/asks people to donate/provide/give/do something,,
204691491,Our onboard radar is picking up 161mph shear! Never seen it that high. Very bad tornado. Proceeding to Perkins. http:// ...,Informative,Information source,,,,,,,
204691492,Tornado Watch now for entire metro area.  Just issued.,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691493,My heart is breaking for folks in #Joplin. Help Find Michael Hare's son! http://tinyurl.com/3or25ts,Informative,"Donations of money, goods or services",,,,"Other, or not specified",Reports that something has been donated/provided/given/done,,
204691494,Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b,Informative,Casualties and damage,,,,,,,A tornado/thunderstorm warning has been issued or has been lifted
204691495,Just took cover...damn Tornado landed about 15 minutes ago. Sirens and alarms are going off like crazy.,Informative,Caution and advice,,A siren has been heard,,,,,
204691496,Keller Texas- Storms. Hail. Tornado Sirens. Rain. Thunder. Lightning. #scary,Informative,Caution and advice,,A siren has been heard,,,,,
204691497,Important: @Redcross & #Joplin MO needs your help! Txt REDCROSS to 90999 to donate or online help at http://bit.ly/eZJ ...,Informative,"Donations of money, goods or services",,,,"Other, or not specified",Invites/asks people to donate/provide/give/do something,,
204691498,Tornado Box now issued for KC metro area (including Leavenworth Wyandotte Johnson).  Thinking here is that primary threat will still be...,Informative,Caution and advice,,Other,,,,,
204691499,Tornado sires are sounding in #Bartlesvill #Oklahoma. Be prepared.,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691500,Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b,Informative,Casualties and damage,,,,,,,A tornado/thunderstorm warning has been issued or has been lifted
204691501,Tornado warning for north west Denying county! If you live in or near Roanoke Justin or Ponder please seek shelter!,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691502,Collin County prepare to take tornado precautions shortly. #txwx,Informative,Caution and advice,,Other,,,,,
204691503,Welp!! Tornado Warning till 8:15pm,Personal,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691504,q2 @USAToday says the tornado in Joplin was one of the deadliest in history.  #agchat,Informative,Unknown,,,,,,,
204691505,People of Joplin MO reunite this family: http://bit.ly/lYGObg #JoplinMO #joplintornado #lostpetsjoplinMO,Personal,Information source,,,,,,,
204691506,Tornado Warning for the northern parts of Ft. Worth TX. #txwx,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691507,RT @liberalchik: storm prediction center in norman ok  evacuated (That can't be good.) #tornado,Informative,"People missing, found or seen",,,,,,,
204691508,Maybe the #rapture is only happening in #Joplin MO. Another tornado on the way.,Informative,Unknown,,,,,,,
204691509,@CNN how can people just disappear after tornado in joplin. 1500 unaccounted for where r they?,Informative,Casualties and damage,,,,,,,Other
204691510,#Joplin tornado was EF5. They call it The Finger Of God. 6 miles long 1800 acres of destruction 1500 missing 122  ...,Informative,Casualties and damage,,,,,,,Other
204691511,Tornado 2 miles west of Azle at 7:38!,Informative,Caution and advice,,Other,,,,,
204691512,Ughhh don't say that!!! RT @Ty_SoFly: Danville Tornado Watch,Personal,Caution and advice,",Danville Tornado Watch",A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691513,#Joplin sad sight. My late Gpa's house - Murphy Blvd b/t 15th & 20th. My uncle hid under a wheelchair ramp. Alive. h ...,Informative,"Donations of money, goods or services",,,,"Other, or not specified",Reports that something has been donated/provided/given/done,,
204691514,Tornado Watch now for entire metro area.  Just issued.,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691515,please pray for the tornado victims.. PLEASE..,Personal,Unknown,,,,,,,
204691516,Tornado Warning for Arlington #rangers,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691517,We have created a website to help provide information and continuous coverage of the deadly tornado that ravaged... http://fb.me/BALIDYnA,Other,,,,,,,,
204691518,"News1 new result for """"Donating"""" """"A Car""""ÃƒÂ¥ÃƒÂŠRotarians reach out to help tornado victims in Missouri USARotary Inter... http://bit.ly/klShd5",Personal,"Donations of money, goods or services",,,,"Other, or not specified",Invites/asks people to donate/provide/give/do something,,
204691519,Tornado on the ground near Azle....,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691520,This weather is scary. Hot cloudy and windy. Dang tornado weather...,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691521,=( RT @debdobson: RT @stevenportnoy: NOAA says the #Joplin tornado was an EF-5 the 8th deadliest tornado on record.,Informative,Unknown,,,,,,,
204691522,The tornado that hit Fairview.  http://t.co/zVHpEUp,Informative,Information source,,,,,,,
204691523,Hoping to do a Joplin tornado relief fundraiser. #prayforJoplin.,Personal,"Donations of money, goods or services",,,,"Other, or not specified",Reports that something has been donated/provided/given/done,,
204691524,@rqskye:  #DEWEY #OK - SIRENS ARE GOING OFF!! TAKE COVER NOW. #okwx,Informative,Caution and advice,,A siren has been heard,,,,,
204691525,RT @blinke: 70mph inflows reported on 820 in Ft. worth! #tornado #txwx,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691526,Ordered a pizza. #Selfish #Tornado,Personal,Caution and advice,",Selfish # Tornado",Other,,,,,
204691527,@RichBoyMagnet is the beginning of tornado season tho. and the midwest is tornado alley.,Personal,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691528,You must be in a place of safety in Northern Tarrant county right now this is an extremely dangerous situation. #txwx,Informative,Caution and advice,,Other,,,,,
204691529,@christoferdrew be sure that all your fans are praying for #JOPLIN :) We Love You and We support you! :D,Personal,Caution and advice,,Other,,,,,
204691530,MT @wxrisk OK:line of tornado warned storms approaching Tulsa within 1 hour. be prepared to take shelter. #okwx #tulsa,Informative,Caution and advice,",tulsa",A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691531,My pics & such will be on @WGNTV & CLTV.  Make sure to watch @Skilling tonight at 9 & Duffy Atkins on the 1s.  #tornado #Oklahoma #Chicago,Informative,Caution and advice,",Oklahoma # Chicago",A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691532,Tornado Warning for the northern parts of Ft. Worth TX.,Informative,Caution and advice,",Ft. Worth TX",A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691533,Tornado Warning for the northern parts of Ft. Worth TX.,Informative,Caution and advice,",Ft. Worth TX",A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691534,Tornado Warning for the northern parts of Ft. Worth TX.,Informative,Caution and advice,",Ft. Worth TX",A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691535,Parker and Tarrant TORNADO WARNING UNTIL 8:15,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691536,Circulation detected near Harjo n of Maud and s of Earlsboro be prepared to take your tornado precautions. #btcprayers,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691537,Kinda fixated on the Weather Channel tonight. Live streaming tornado chases in multiple areas. Crazy.,Personal,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691538,Found a solid looking brick bldg in #joplin to hide behind. We'll do broadcast from here. Worried winds could flip o ...,Informative,Casualties and damage,,,,,,,Other
204691539,CORRECTION Tornado watch for the entire KC Metro until 3 AM,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691540,@AngEngland the weather channel is showing Atoka is in the back of a storm coming from Ardmore area..possible tornado..Over Madill right now,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691541,Pics just continue to amaze!! RT @NiaNoelle: A picture of the tornado in my moms neighborhood http://twit ...,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691542,FWD: EmergencyStream: LIVESTREAM: TORNADO WARNINGS IN TEXAS. LIVE AERIAL SHOTS NOW HERE: http://bit.ly/fVckZ0,Informative,Information source,,,,,,,
204691543,7 dead in Oklahoma so far...#tornado,Informative,Caution and advice,,Other,,,,,
204691544,More tornado deaths. This time in Oklahoma. SAD trend...,Informative,Caution and advice,,Other,,,,,
204691545,Storm is moving into Sand Springs.. wind could gust as high as 90mph.  Heed warnings..  #okwx,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691546,"Latest NOAA U.S. #Tornado #Watch """"regions"""" - growing - http://1.usa.gov/7K0gut",Informative,Information source,,,,,,,
204691547,TORNADO WARNING [ Ellsworth KS ][ Lincoln KS ] Expires: Tue May 24 21:30 EDT #SVRAlert,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204691548,In case y'all wondered what tornado weather looked like. http://twitpic.com/5243sm,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204691549,Omg if the tornado interrupts Glee I will be pissed. D:,Personal,Caution and advice,,Other,,,,,
204691550,MacIntosh: Joplin tornado hit close to home: On April 22 the airport North St. Louis County and New Melle Mo.... http://bit.ly/lXKEQK,Informative,Information source,,,,,,,
204691551,Cuddling Weather.....Unless A Tornado Smack Our Ass,Personal,Caution and advice,,Other,,,,,
204691552,Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b,Informative,Casualties and damage,,,,,,,A tornado/thunderstorm warning has been issued or has been lifted
204691553,Tornadic type damage in OKC at SW 89tg and Santa Fe. Utility pokes down insulation and drywall everywhere and uprooted trees.  #okwx.,Informative,Caution and advice,,Other,,,,,
204691554,Tornado: X rays found 70 miles away [ Holy Moly,Informative,Caution and advice,,Other,,,,,
204691555,A tornado watch has just been issued for Joplin,Informative,Caution and advice,",Joplin",A tornado/thunderstorm warning has been issued or has been lifted,,,,,
